date,location,new_cases,new_deaths,total_cases,total_deaths
2020-06-18,Afghanistan,564,13,26874,504
2020-06-18,Albania,50,1,1722,38
2020-06-18,Algeria,121,11,11268,799
2020-06-18,Andorra,0,0,854,52
2020-06-18,Angola,13,1,155,7
2020-06-18,Anguilla,0,0,3,0
2020-06-18,Antigua and Barbuda,0,0,26,3
2020-06-18,Argentina,1393,35,35539,913
2020-06-18,Armenia,544,9,18033,302
2020-06-18,Aruba,0,0,101,3
2020-06-18,Australia,23,0,7370,102
2020-06-18,Austria,17,6,17115,687
2020-06-18,Azerbaijan,329,7,10991,133
2020-06-18,Bahamas,0,0,104,11
2020-06-18,Bahrain,408,2,19961,49
2020-06-18,Bangladesh,4008,43,98489,1305
2020-06-18,Barbados,0,0,97,7
2020-06-18,Belarus,663,6,56032,324
2020-06-18,Belgium,89,12,60244,9675
2020-06-18,Belize,1,0,22,2
2020-06-18,Benin,40,0,572,9
2020-06-18,Bermuda,0,0,144,9
2020-06-18,Bhutan,0,0,67,0
2020-06-18,Bolivia,802,20,20685,679
2020-06-18,Bonaire Sint Eustatius and Saba,0,0,7,0
2020-06-18,Bosnia and Herzegovina,60,0,3144,167
2020-06-18,Botswana,0,0,60,1
2020-06-18,Brazil,32188,1269,955377,46510
2020-06-18,British Virgin Islands,0,0,8,1
2020-06-18,Brunei,0,0,141,3
2020-06-18,Bulgaria,89,3,3542,184
2020-06-18,Burkina Faso,4,0,899,53
2020-06-18,Burundi,0,0,104,1
2020-06-18,Cambodia,1,0,129,0
2020-06-18,Cameroon,0,0,9864,276
2020-06-18,Canada,386,41,99842,8254
2020-06-18,Cape Verde,11,0,792,7
2020-06-18,Cayman Islands,0,0,193,1
2020-06-18,Central African Republic,154,4,2564,18
2020-06-18,Chad,1,0,854,74
2020-06-18,Chile,36179,232,220628,3615
2020-06-18,China,36,0,84458,4638
2020-06-18,Colombia,2115,63,57046,1864
2020-06-18,Comoros,0,0,197,3
2020-06-18,Congo,0,0,883,27
2020-06-18,Costa Rica,102,0,1871,12
2020-06-18,Cote d'Ivoire,384,2,6063,48
2020-06-18,Croatia,3,0,2258,107
2020-06-18,Cuba,7,0,2280,84
2020-06-18,Curacao,1,0,23,1
2020-06-18,Cyprus,0,0,985,18
2020-06-18,Czech Republic,51,2,10162,333
2020-06-18,Democratic Republic of Congo,125,3,5099,115
2020-06-18,Denmark,44,0,12294,598
2020-06-18,Djibouti,6,0,4545,43
2020-06-18,Dominica,0,0,18,0
2020-06-18,Dominican Republic,419,18,24105,633
2020-06-18,Ecuador,547,37,48490,4007
2020-06-18,Egypt,1363,84,49219,1850
2020-06-18,El Salvador,125,4,4066,82
2020-06-18,Equatorial Guinea,0,0,1306,12
2020-06-18,Eritrea,10,0,131,0
2020-06-18,Estonia,2,0,1977,69
2020-06-18,Ethiopia,129,2,3759,63
2020-06-18,Faeroe Islands,0,0,187,0
2020-06-18,Falkland Islands,0,0,13,0
2020-06-18,Fiji,0,0,18,0
2020-06-18,Finland,5,0,7117,326
2020-06-18,France,458,28,158174,29575
2020-06-18,French Polynesia,0,0,60,0
2020-06-18,Gabon,115,1,4229,30
2020-06-18,Gambia,0,0,34,1
2020-06-18,Georgia,5,0,893,14
2020-06-18,Germany,580,26,187764,8856
2020-06-18,Ghana,397,8,12590,66
2020-06-18,Gibraltar,0,0,176,0
2020-06-18,Greece,55,2,3203,187
2020-06-18,Greenland,0,0,13,0
2020-06-18,Grenada,0,0,23,0
2020-06-18,Guam,4,0,192,5
2020-06-18,Guatemala,545,14,11251,432
2020-06-18,Guernsey,0,0,252,13
2020-06-18,Guinea,29,0,4668,26
